,race,social_class,income,president,sex,urban
1674,White,Working class,59999.0,1.0,Male,Suburb
1675,White,Middle class,174999.0,0.0,Male,Suburb
1676,White,Middle class,79999.0,1.0,Male,Suburb
1677,Hispanic,Middle class,300000.0,1.0,Male,Suburb
1678,White,Working class,74999.0,0.0,Female,Rural area
1679,White,Middle class,34999.0,0.0,Male,Small town
1680,White,Working class,79999.0,1.0,Female,Rural area
1681,Black,Working class,29999.0,1.0,Female,Small town
1682,White,Lower class,14999.0,1.0,Male,Rural area
1683,White,Working class,39999.0,0.0,Male,Rural area
1684,White,Working class,89999.0,0.0,Male,Small town
1685,White,Middle class,109999.0,1.0,Female,City
1686,White,Middle class,149999.0,1.0,Female,Small town
1687,White,Lower class,29999.0,1.0,Female,City
1688,Black,Middle class,149999.0,1.0,Male,Small town
1689,White,Middle class,300000.0,0.0,Male,City
1690,White,Middle class,249999.0,0.0,Male,City
1691,White,Lower class,9999.0,1.0,Female,Small town
1692,Black,Working class,24999.0,1.0,Female,City
1693,White,Working class,89999.0,1.0,Female,Suburb
1694,White,Middle class,59999.0,0.0,Male,Rural area
1695,Asian,Working class,99999.0,1.0,Female,Suburb
1696,White,Middle class,174999.0,0.0,Male,Suburb
1697,White,Working class,74999.0,0.0,Male,Small town
1698,White,Middle class,249999.0,1.0,Female,City
1699,Black,Middle class,89999.0,0.0,Male,Suburb
1700,White,Middle class,9999.0,0.0,Female,Small town
1701,White,Middle class,39999.0,0.0,Male,Suburb
1702,White,Middle class,49999.0,1.0,Female,City
1703,White,Middle class,59999.0,0.0,Female,Rural area
1704,White,Working class,74999.0,1.0,Female,City
1705,White,Upper class,44999.0,1.0,Male,City
1706,White,Middle class,89999.0,0.0,Male,Suburb
1707,White,Working class,24999.0,1.0,Male,Rural area
1708,White,Working class,174999.0,1.0,Male,Small town
1709,White,Upper class,300000.0,0.0,Female,Suburb
1710,Hispanic,Working class,59999.0,1.0,Female,City
1711,White,Working class,49999.0,0.0,Male,City
1712,White,Middle class,149999.0,0.0,Male,Small town
1713,White,Working class,39999.0,1.0,Female,Suburb
1714,White,Working class,149999.0,0.0,Male,Rural area
1715,White,Working class,99999.0,0.0,Male,Suburb
1716,White,Working class,109999.0,0.0,Female,Small town
1717,White,Middle class,9999.0,0.0,Female,Suburb
1718,White,Working class,24999.0,0.0,Male,Small town
1719,Black,Middle class,99999.0,1.0,Male,City
1720,White,Working class,69999.0,1.0,Male,City
1721,White,Middle class,74999.0,1.0,Male,Rural area
1722,White,Upper class,174999.0,1.0,Male,Small town
1723,White,Middle class,24999.0,0.0,Female,Rural area
1724,White,Middle class,24999.0,1.0,Female,Suburb
1725,White,Working class,39999.0,0.0,Male,Small town
1726,Black,Working class,24999.0,1.0,Female,Small town
1727,White,Working class,59999.0,0.0,Female,Small town
1728,White,Middle class,124999.0,1.0,Female,Suburb
1729,White,Middle class,59999.0,1.0,Male,Rural area
1730,White,Lower class,29999.0,0.0,Male,Suburb
1731,White,Middle class,9999.0,0.0,Male,Small town
1732,Hispanic,Middle class,59999.0,0.0,Female,Suburb
1733,Multiple,Working class,64999.0,0.0,Male,Small town
1734,Asian,Working class,99999.0,0.0,Male,Rural area
1735,Multiple,Working class,89999.0,1.0,Female,Small town
1736,Hispanic,Middle class,89999.0,1.0,Male,Suburb
1737,White,Upper class,300000.0,1.0,Male,City
1738,White,Middle class,99999.0,0.0,Female,Suburb
1739,White,Middle class,79999.0,0.0,Female,Rural area
1740,Hispanic,Middle class,59999.0,1.0,Male,Small town
1741,Native American,Working class,29999.0,0.0,Male,Suburb
1742,Black,Working class,79999.0,1.0,Female,Suburb
1743,White,Middle class,39999.0,0.0,Female,Small town
1744,White,Working class,19999.0,1.0,Male,City
1745,Asian,Middle class,109999.0,0.0,Male,Suburb
1746,White,Working class,24999.0,0.0,Female,Suburb
1747,White,Middle class,300000.0,0.0,Male,Small town
1748,Native American,Working class,34999.0,0.0,Male,Rural area
1749,White,Working class,49999.0,1.0,Female,Small town
1750,Native American,Lower class,34999.0,1.0,Male,Small town
1751,Asian,Working class,64999.0,1.0,Male,City
1752,White,Middle class,174999.0,1.0,Male,City
1753,White,Middle class,29999.0,0.0,Female,City
1754,Hispanic,Working class,44999.0,1.0,Male,City
1755,White,Working class,49999.0,1.0,Male,Small town
1756,Asian,Upper class,174999.0,1.0,Female,City
1757,White,Working class,89999.0,1.0,Male,Rural area
1758,White,Middle class,39999.0,0.0,Female,City
1759,Hispanic,Middle class,109999.0,1.0,Female,Rural area
1760,White,Middle class,14999.0,1.0,Female,Suburb
1761,White,Middle class,64999.0,0.0,Male,Suburb
1762,White,Working class,44999.0,0.0,Female,Suburb
1763,White,Working class,44999.0,0.0,Female,Rural area
1764,White,Middle class,174999.0,1.0,Female,Suburb
1765,Black,Working class,9999.0,1.0,Male,City
1766,White,Working class,79999.0,1.0,Male,Suburb
1767,Multiple,Middle class,124999.0,1.0,Female,City
1768,White,Working class,79999.0,0.0,Male,Suburb
1769,White,Middle class,99999.0,0.0,Male,Rural area
1770,White,Lower class,9999.0,1.0,Female,City
1771,Asian,Working class,9999.0,0.0,Male,Small town
1772,Hispanic,Middle class,59999.0,1.0,Male,Small town
1773,White,Lower class,24999.0,1.0,Female,Small town
1774,White,Middle class,249999.0,1.0,Female,City
1775,Multiple,Working class,109999.0,0.0,Female,Rural area
1776,White,Middle class,74999.0,0.0,Male,Small town
1777,White,Working class,64999.0,1.0,Female,Suburb
1778,Native American,Middle class,39999.0,0.0,Male,City
1779,White,Working class,19999.0,1.0,Female,City
1780,Black,Working class,24999.0,1.0,Female,City
1781,White,Working class,39999.0,1.0,Male,Small town
1782,White,Working class,69999.0,0.0,Male,Suburb
1783,White,Middle class,249999.0,0.0,Male,Rural area
1784,White,Working class,49999.0,0.0,Male,City
1785,White,Middle class,59999.0,1.0,Female,Small town
1786,White,Upper class,249999.0,1.0,Female,City
1787,White,Working class,34999.0,0.0,Male,City
1788,White,Middle class,99999.0,1.0,Male,Suburb
1789,White,Middle class,249999.0,0.0,Female,Suburb
1790,White,Middle class,149999.0,0.0,Female,Suburb
1791,Multiple,Middle class,69999.0,1.0,Female,City
1792,Black,Middle class,64999.0,1.0,Female,Suburb
1793,White,Working class,44999.0,0.0,Male,Suburb
1794,White,Middle class,64999.0,0.0,Male,Suburb
1795,White,Middle class,249999.0,0.0,Male,Suburb
1796,Hispanic,Middle class,249999.0,1.0,Female,Small town
1797,White,Working class,174999.0,0.0,Male,Rural area
1798,White,Middle class,149999.0,0.0,Female,Rural area
1799,White,Middle class,109999.0,1.0,Male,Suburb
1800,White,Middle class,124999.0,1.0,Female,Small town
1801,White,Middle class,44999.0,1.0,Male,Rural area
1802,White,Middle class,174999.0,1.0,Male,Suburb
1803,Black,Middle class,59999.0,1.0,Male,Suburb
1804,Asian,Middle class,44999.0,1.0,Male,Small town
1805,White,Working class,9999.0,1.0,Female,Small town
1806,White,Working class,109999.0,0.0,Female,Rural area
1807,White,Lower class,24999.0,1.0,Female,Small town
1808,White,Middle class,79999.0,1.0,Female,Suburb
1809,White,Middle class,249999.0,0.0,Female,Rural area
1810,White,Middle class,99999.0,0.0,Female,Suburb
1811,White,Middle class,174999.0,0.0,Male,Suburb
1812,White,Upper class,300000.0,1.0,Male,Suburb
1813,White,Middle class,149999.0,0.0,Male,City
1814,White,Working class,89999.0,1.0,Male,Rural area
1815,Black,Working class,24999.0,1.0,Male,Small town
1816,White,Middle class,99999.0,0.0,Female,Small town
1817,Multiple,Middle class,109999.0,0.0,Male,Suburb
1818,White,Middle class,249999.0,0.0,Male,Suburb
1819,Multiple,Working class,14999.0,1.0,Female,Small town
1820,White,Working class,29999.0,0.0,Female,Small town
1821,Black,Working class,59999.0,1.0,Female,Suburb
1822,Asian,Middle class,109999.0,1.0,Male,Suburb
1823,Black,Working class,44999.0,1.0,Female,City
1824,White,Working class,39999.0,0.0,Female,Small town
1825,White,Lower class,9999.0,0.0,Male,Small town
1826,White,Middle class,249999.0,0.0,Male,Rural area
1827,White,Working class,59999.0,0.0,Male,City
1828,White,Middle class,79999.0,0.0,Male,Rural area
1829,White,Middle class,74999.0,0.0,Male,Suburb
1830,White,Working class,14999.0,1.0,Female,Suburb
1831,White,Middle class,99999.0,0.0,Female,Small town
1832,Asian,Working class,64999.0,1.0,Male,City
1833,Black,Working class,109999.0,1.0,Female,Suburb
1834,White,Working class,69999.0,0.0,Male,Suburb
1835,Hispanic,Middle class,300000.0,1.0,Female,Suburb
1836,White,Working class,89999.0,1.0,Female,City
1837,White,Working class,124999.0,0.0,Male,Small town
1838,White,Middle class,124999.0,1.0,Female,City
1839,White,Middle class,249999.0,0.0,Male,Small town
1840,White,Lower class,24999.0,1.0,Male,Small town
1841,Hispanic,Lower class,24999.0,1.0,Female,City
1842,White,Working class,124999.0,0.0,Male,Small town
1843,White,Middle class,149999.0,1.0,Female,City
1844,White,Middle class,79999.0,0.0,Male,Small town
1845,Multiple,Working class,14999.0,1.0,Male,Suburb
1846,White,Working class,89999.0,0.0,Male,Small town
1847,White,Middle class,59999.0,1.0,Female,Suburb
1848,Hispanic,Middle class,79999.0,0.0,Female,Suburb
1849,White,Working class,89999.0,1.0,Male,City
1850,Hispanic,Working class,89999.0,1.0,Male,City
1851,White,Working class,149999.0,0.0,Female,Rural area
1852,Hispanic,Working class,64999.0,0.0,Male,City
1853,Hispanic,Middle class,124999.0,0.0,Male,Small town
1854,White,Middle class,59999.0,0.0,Female,City
1855,White,Middle class,99999.0,0.0,Female,Small town
1856,Black,Middle class,39999.0,1.0,Male,Small town
1857,White,Middle class,64999.0,0.0,Female,Rural area
1858,White,Upper class,249999.0,1.0,Female,Suburb
1859,Hispanic,Working class,149999.0,1.0,Male,City
1860,Native American,Middle class,59999.0,0.0,Female,Small town
1861,White,Middle class,149999.0,1.0,Male,Suburb
1862,White,Working class,59999.0,0.0,Male,Rural area
1863,White,Middle class,79999.0,0.0,Female,City
1864,Black,Working class,39999.0,1.0,Female,City
1865,White,Middle class,89999.0,0.0,Male,Small town
1866,White,Middle class,14999.0,0.0,Female,City
1867,White,Working class,109999.0,0.0,Female,Suburb
1868,Black,Middle class,39999.0,1.0,Female,Suburb
1869,White,Middle class,174999.0,0.0,Male,Rural area
1870,White,Middle class,149999.0,0.0,Male,Suburb
1871,White,Working class,14999.0,0.0,Female,Small town
1872,White,Working class,109999.0,0.0,Male,Small town
1873,White,Working class,9999.0,1.0,Female,Rural area
1874,White,Working class,99999.0,0.0,Female,Rural area
1875,White,Middle class,124999.0,1.0,Male,Small town
1876,White,Working class,29999.0,1.0,Female,Small town
1877,White,Lower class,9999.0,0.0,Female,Small town
1878,White,Working class,89999.0,1.0,Male,City
1879,White,Working class,24999.0,1.0,Female,Suburb
1880,White,Working class,89999.0,0.0,Male,Rural area
1881,White,Working class,69999.0,1.0,Male,Suburb
1882,White,Middle class,149999.0,1.0,Female,Small town
1883,White,Middle class,59999.0,1.0,Male,City
1884,White,Lower class,9999.0,1.0,Male,City
1885,White,Lower class,109999.0,1.0,Female,Rural area
1886,White,Middle class,124999.0,0.0,Female,Small town
1887,White,Middle class,149999.0,1.0,Male,Rural area
1888,White,Lower class,9999.0,0.0,Female,Suburb
1889,White,Middle class,79999.0,0.0,Female,Small town
1890,White,Working class,9999.0,0.0,Female,Small town
1891,White,Working class,99999.0,1.0,Male,Suburb
1892,White,Working class,14999.0,1.0,Female,Small town
1893,Black,Middle class,64999.0,1.0,Female,City
1894,White,Working class,300000.0,0.0,Male,Rural area
1895,White,Middle class,109999.0,0.0,Female,City
1896,White,Middle class,9999.0,0.0,Female,Small town
1897,White,Middle class,99999.0,0.0,Male,Small town
1898,White,Middle class,79999.0,1.0,Male,Suburb
1899,Black,Lower class,89999.0,1.0,Female,City
1900,White,Working class,74999.0,0.0,Female,Rural area
1901,White,Middle class,34999.0,0.0,Female,Small town
1902,White,Working class,74999.0,0.0,Male,Small town
1903,White,Working class,29999.0,0.0,Male,Small town
1904,Multiple,Working class,64999.0,1.0,Female,Small town
1905,Hispanic,Working class,59999.0,1.0,Female,Small town
1906,Black,Upper class,9999.0,1.0,Female,City
1907,White,Middle class,19999.0,0.0,Female,City
1908,White,Middle class,74999.0,0.0,Female,Suburb
1909,White,Working class,59999.0,0.0,Female,Rural area
1910,White,Upper class,249999.0,1.0,Female,Suburb
1911,White,Middle class,29999.0,0.0,Female,Small town
1912,White,Upper class,300000.0,1.0,Male,Suburb
1913,White,Middle class,249999.0,1.0,Male,City
1914,White,Middle class,39999.0,1.0,Female,Rural area
1915,White,Middle class,64999.0,1.0,Male,Suburb
1916,Multiple,Middle class,74999.0,0.0,Male,Suburb
1917,Asian,Working class,109999.0,0.0,Male,Small town
1918,White,Middle class,174999.0,1.0,Female,City
1919,White,Middle class,9999.0,0.0,Female,Small town
1920,White,Working class,39999.0,0.0,Female,Small town
1921,Black,Middle class,124999.0,1.0,Female,Suburb
1922,White,Working class,99999.0,1.0,Female,Suburb
1923,White,Middle class,24999.0,0.0,Female,Rural area
1924,White,Working class,24999.0,0.0,Female,Rural area
1925,White,Working class,109999.0,0.0,Female,City
1926,White,Working class,49999.0,0.0,Female,Rural area
1927,Hispanic,Middle class,29999.0,1.0,Male,City
1928,White,Working class,9999.0,0.0,Female,City
1929,White,Middle class,39999.0,1.0,Female,Small town
1930,White,Working class,59999.0,1.0,Male,Suburb
1931,White,Working class,59999.0,1.0,Female,Rural area
1932,White,Working class,64999.0,1.0,Female,Small town
1933,White,Working class,24999.0,0.0,Female,Rural area
1934,White,Middle class,49999.0,0.0,Female,Small town
1935,Native American,Middle class,9999.0,1.0,Male,City
1936,White,Middle class,44999.0,1.0,Female,City
1937,Hispanic,Middle class,34999.0,1.0,Female,City
1938,White,Upper class,300000.0,1.0,Male,Small town
1939,White,Middle class,64999.0,0.0,Male,Small town
1940,White,Working class,109999.0,0.0,Male,Small town
1941,White,Working class,39999.0,0.0,Male,Small town
1942,White,Middle class,89999.0,0.0,Female,Suburb
1943,White,Middle class,99999.0,0.0,Male,Small town
1944,White,Middle class,49999.0,1.0,Female,City
1945,Hispanic,Middle class,124999.0,1.0,Female,Suburb
1946,Hispanic,Working class,9999.0,1.0,Male,City
1947,White,Working class,39999.0,1.0,Male,Rural area
1948,White,Working class,59999.0,1.0,Female,City
1949,White,Middle class,74999.0,1.0,Female,Rural area
1950,White,Lower class,34999.0,0.0,Female,Rural area
1951,White,Middle class,300000.0,1.0,Female,City
1952,Multiple,Middle class,9999.0,0.0,Male,City
1953,White,Working class,29999.0,0.0,Female,Small town
1954,White,Working class,19999.0,0.0,Female,Small town
1955,Multiple,Working class,99999.0,1.0,Male,Suburb
1956,White,Middle class,59999.0,0.0,Female,Small town
1957,White,Middle class,89999.0,1.0,Female,City
1958,White,Middle class,34999.0,0.0,Female,Small town
1959,White,Middle class,174999.0,1.0,Female,Rural area
1960,White,Middle class,249999.0,1.0,Female,City
1961,Black,Working class,9999.0,1.0,Female,Small town
1962,White,Working class,44999.0,0.0,Female,Rural area
1963,White,Working class,49999.0,0.0,Male,City
1964,White,Working class,39999.0,0.0,Female,Small town
1965,White,Working class,34999.0,0.0,Female,Small town
1966,White,Middle class,300000.0,1.0,Female,City
1967,White,Working class,89999.0,0.0,Male,Suburb
1968,Black,Middle class,89999.0,1.0,Female,Suburb
1969,White,Working class,24999.0,1.0,Female,Small town
1970,White,Middle class,149999.0,1.0,Female,City
1971,Asian,Middle class,174999.0,1.0,Female,Suburb
1972,White,Lower class,29999.0,1.0,Male,Small town
1973,Native American,Working class,44999.0,1.0,Male,City
1974,Black,Middle class,44999.0,1.0,Male,Suburb
1975,White,Middle class,89999.0,0.0,Male,Small town
1976,White,Middle class,149999.0,1.0,Male,City
1977,Black,Middle class,59999.0,1.0,Female,City
1978,White,Working class,39999.0,0.0,Female,Small town
1979,White,Upper class,300000.0,1.0,Male,City
1980,Black,Working class,19999.0,1.0,Female,Rural area
1981,Native American,Middle class,79999.0,1.0,Male,City
1982,White,Middle class,79999.0,1.0,Male,Suburb
1983,White,Working class,19999.0,1.0,Male,City
1984,White,Middle class,174999.0,1.0,Male,City
1985,White,Working class,34999.0,1.0,Female,Suburb
1986,White,Middle class,109999.0,1.0,Female,Small town
1987,White,Middle class,109999.0,1.0,Female,Suburb
1988,White,Working class,89999.0,1.0,Male,City
1989,White,Working class,49999.0,0.0,Female,City
1990,White,Middle class,300000.0,1.0,Female,Suburb
1991,White,Middle class,174999.0,0.0,Male,Suburb
1992,White,Middle class,149999.0,1.0,Female,Rural area
1993,Black,Upper class,174999.0,1.0,Male,Suburb
1994,Asian,Working class,99999.0,0.0,Male,Small town
1995,White,Lower class,14999.0,0.0,Male,Small town
1996,White,Middle class,300000.0,1.0,Female,Rural area
1997,Black,Middle class,44999.0,1.0,Female,Suburb
1998,White,Middle class,124999.0,1.0,Male,Rural area
1999,White,Middle class,74999.0,0.0,Female,Suburb
2000,White,Middle class,174999.0,1.0,Female,Suburb
2001,Multiple,Working class,79999.0,1.0,Female,City
2002,Native American,Working class,9999.0,1.0,Male,City
2003,Black,Middle class,249999.0,1.0,Female,Suburb
2004,White,Working class,39999.0,0.0,Male,City
2005,White,Working class,19999.0,0.0,Male,Small town
2006,White,Middle class,89999.0,0.0,Male,Rural area
2007,White,Working class,99999.0,1.0,Female,Suburb
2008,White,Middle class,249999.0,1.0,Female,Suburb
2009,White,Middle class,19999.0,1.0,Female,City
2010,White,Working class,34999.0,0.0,Male,Small town
2011,White,Lower class,124999.0,1.0,Female,Small town
2012,White,Middle class,49999.0,1.0,Female,Small town
2013,White,Working class,29999.0,0.0,Female,Small town
2014,White,Middle class,19999.0,1.0,Female,Suburb
2015,Asian,Middle class,9999.0,1.0,Male,Suburb
2016,White,Middle class,64999.0,0.0,Female,Small town
2017,White,Working class,89999.0,1.0,Male,Small town
2018,White,Middle class,59999.0,1.0,Female,City
2019,White,Middle class,249999.0,1.0,Female,City
2020,White,Middle class,149999.0,0.0,Male,City
2021,Asian,Working class,44999.0,0.0,Male,City
2022,Black,Working class,24999.0,1.0,Male,City
2023,White,Middle class,300000.0,1.0,Male,City
2024,White,Middle class,74999.0,1.0,Male,City
2025,Black,Working class,89999.0,1.0,Female,City
2026,White,Middle class,109999.0,0.0,Male,Small town
2027,White,Middle class,149999.0,1.0,Male,City
2028,Hispanic,Working class,300000.0,0.0,Female,City
2029,White,Upper class,300000.0,1.0,Male,City
2030,Hispanic,Middle class,149999.0,1.0,Male,Small town
2031,White,Middle class,249999.0,1.0,Male,Suburb
2032,White,Middle class,124999.0,0.0,Male,Suburb
2033,Hispanic,Working class,39999.0,1.0,Male,Rural area
2034,White,Middle class,49999.0,0.0,Male,Suburb
2035,White,Middle class,174999.0,0.0,Male,Suburb
2036,White,Middle class,249999.0,0.0,Male,Suburb
2037,White,Working class,44999.0,0.0,Male,City
2038,White,Working class,9999.0,1.0,Male,Suburb
2039,White,Upper class,64999.0,0.0,Male,Suburb
2040,White,Middle class,59999.0,1.0,Female,Suburb
2041,White,Middle class,174999.0,1.0,Female,Rural area
2042,White,Middle class,174999.0,0.0,Female,City
2043,White,Lower class,14999.0,0.0,Female,City
2044,Black,Working class,9999.0,1.0,Female,Small town
2045,White,Middle class,74999.0,0.0,Male,City
2046,White,Middle class,19999.0,0.0,Female,City
2047,Hispanic,Lower class,24999.0,0.0,Female,Rural area
2048,White,Upper class,300000.0,1.0,Female,City
2049,White,Middle class,149999.0,0.0,Female,Small town
2050,White,Middle class,49999.0,1.0,Female,Suburb
2051,White,Working class,69999.0,0.0,Female,City
2052,White,Middle class,99999.0,1.0,Male,Suburb
2053,White,Lower class,19999.0,0.0,Male,Small town
2054,White,Middle class,69999.0,0.0,Female,Small town
2055,White,Upper class,300000.0,1.0,Female,City
2056,White,Middle class,99999.0,1.0,Male,Small town
2057,White,Working class,300000.0,0.0,Female,Small town
2058,White,Middle class,300000.0,0.0,Male,Suburb
2059,White,Working class,29999.0,0.0,Male,City
2060,White,Middle class,89999.0,1.0,Male,City
2061,White,Middle class,29999.0,1.0,Female,City
2062,White,Working class,99999.0,0.0,Female,Rural area
2063,White,Middle class,79999.0,0.0,Male,City
2064,White,Middle class,109999.0,0.0,Female,Small town
2065,White,Middle class,149999.0,0.0,Male,Small town
2066,White,Middle class,174999.0,0.0,Male,Suburb
2067,White,Lower class,34999.0,0.0,Female,City
2068,White,Upper class,300000.0,1.0,Male,City
2069,White,Working class,99999.0,0.0,Female,Rural area
2070,Black,Lower class,34999.0,1.0,Female,City
2071,White,Middle class,99999.0,1.0,Male,Small town
2072,White,Middle class,59999.0,1.0,Female,Small town
2073,White,Working class,79999.0,0.0,Female,City
2074,White,Middle class,249999.0,1.0,Female,City
2075,Hispanic,Middle class,124999.0,0.0,Female,Suburb
2076,Black,Working class,9999.0,1.0,Female,Rural area
2077,White,Working class,39999.0,1.0,Female,City
2078,Asian,Lower class,19999.0,1.0,Female,Suburb
2079,White,Working class,19999.0,0.0,Male,Small town
2080,White,Working class,69999.0,0.0,Female,Small town
2081,White,Working class,89999.0,0.0,Male,Small town
2082,White,Middle class,300000.0,0.0,Female,City
2083,Black,Working class,29999.0,1.0,Female,City
2084,White,Working class,79999.0,0.0,Male,Rural area
2085,White,Working class,19999.0,0.0,Female,Rural area
2086,White,Middle class,34999.0,1.0,Female,City
2087,Asian,Upper class,9999.0,1.0,Female,Suburb
2088,White,Working class,69999.0,0.0,Male,Suburb
2089,White,Upper class,9999.0,1.0,Male,Rural area
2090,White,Middle class,49999.0,0.0,Male,City
2091,White,Working class,124999.0,0.0,Male,Rural area
2092,White,Upper class,300000.0,1.0,Female,Small town
2093,White,Middle class,109999.0,1.0,Female,Suburb
2094,White,Working class,74999.0,1.0,Male,Small town
2095,White,Working class,99999.0,0.0,Male,Small town
2096,White,Middle class,74999.0,1.0,Female,City
2097,Native American,Working class,300000.0,1.0,Female,Suburb
2098,White,Middle class,249999.0,0.0,Male,Suburb
2099,White,Middle class,174999.0,0.0,Female,Suburb
2100,White,Middle class,124999.0,1.0,Female,City
2101,White,Working class,124999.0,1.0,Female,Small town
2102,White,Middle class,124999.0,1.0,Male,Suburb
2103,White,Middle class,79999.0,0.0,Male,Small town
2104,White,Middle class,149999.0,1.0,Female,Suburb
2105,White,Middle class,109999.0,0.0,Female,Rural area
2106,White,Middle class,174999.0,1.0,Male,City
2107,Multiple,Working class,59999.0,1.0,Female,City
2108,Hispanic,Working class,9999.0,1.0,Male,Small town
2109,White,Middle class,124999.0,1.0,Male,City
2110,White,Working class,174999.0,1.0,Female,City
2111,Black,Working class,34999.0,1.0,Female,City
2112,White,Middle class,74999.0,1.0,Female,City
2113,White,Middle class,174999.0,0.0,Male,Small town
2114,White,Working class,39999.0,1.0,Female,City
2115,White,Lower class,9999.0,1.0,Female,City
2116,White,Middle class,69999.0,0.0,Male,Suburb
2117,White,Middle class,34999.0,0.0,Female,City
2118,Black,Middle class,74999.0,0.0,Female,Suburb
2119,White,Working class,149999.0,0.0,Female,Rural area
2120,White,Middle class,59999.0,0.0,Female,Rural area
2121,White,Middle class,149999.0,1.0,Female,City
2122,White,Middle class,174999.0,0.0,Female,Suburb
2123,White,Middle class,89999.0,1.0,Male,Suburb
2124,White,Middle class,249999.0,1.0,Male,Suburb
2125,White,Working class,59999.0,0.0,Female,Suburb
2126,White,Middle class,34999.0,1.0,Female,Suburb
2127,White,Lower class,14999.0,0.0,Female,Rural area
2128,White,Working class,29999.0,1.0,Female,Small town
2129,White,Working class,124999.0,0.0,Female,Suburb
2130,White,Middle class,174999.0,1.0,Female,Rural area
2131,Black,Working class,29999.0,1.0,Female,City
2132,Hispanic,Working class,64999.0,0.0,Male,Small town
2133,White,Middle class,9999.0,0.0,Female,Rural area
2134,Hispanic,Working class,59999.0,1.0,Female,Suburb
2135,Native American,Middle class,9999.0,1.0,Female,City
2136,White,Lower class,19999.0,0.0,Female,Suburb
2137,White,Working class,59999.0,1.0,Female,Suburb
2138,White,Middle class,74999.0,1.0,Female,Suburb
2139,Hispanic,Lower class,39999.0,0.0,Male,City
2140,Asian,Working class,69999.0,1.0,Female,City
2141,White,Middle class,89999.0,0.0,Male,City
2142,Hispanic,Middle class,19999.0,1.0,Female,City
2143,Hispanic,Middle class,89999.0,1.0,Female,City
2144,White,Middle class,99999.0,1.0,Female,City
2145,White,Working class,59999.0,0.0,Female,Small town
2146,White,Middle class,89999.0,0.0,Female,Suburb
2147,Hispanic,Middle class,249999.0,1.0,Male,City
2148,White,Upper class,249999.0,1.0,Male,City
2149,White,Middle class,174999.0,1.0,Male,Suburb
2150,White,Middle class,29999.0,0.0,Female,Suburb
2151,White,Middle class,24999.0,0.0,Male,Small town
2152,White,Middle class,59999.0,1.0,Female,Suburb
2153,Hispanic,Lower class,9999.0,1.0,Male,City
2154,Black,Middle class,249999.0,1.0,Male,Suburb
2155,White,Middle class,124999.0,0.0,Female,Rural area
2156,White,Middle class,174999.0,0.0,Female,Small town
2157,White,Middle class,249999.0,1.0,Male,City
2158,White,Working class,59999.0,0.0,Female,City
2159,Native American,Middle class,174999.0,0.0,Female,Suburb
2160,White,Middle class,174999.0,1.0,Male,Suburb
2161,Multiple,Lower class,9999.0,0.0,Female,City
2162,White,Middle class,9999.0,0.0,Male,Small town
2163,White,Middle class,149999.0,1.0,Female,Suburb
2164,White,Middle class,174999.0,0.0,Female,Suburb
2165,White,Middle class,14999.0,0.0,Male,Suburb
2166,White,Working class,109999.0,1.0,Male,Suburb
2167,White,Working class,24999.0,0.0,Male,Small town
2168,White,Middle class,124999.0,0.0,Male,Suburb
2169,White,Working class,74999.0,0.0,Male,Rural area
2170,White,Middle class,99999.0,1.0,Female,Small town
2171,Black,Middle class,99999.0,1.0,Female,Suburb
2172,White,Middle class,89999.0,0.0,Female,Small town
2173,Multiple,Middle class,59999.0,1.0,Male,City
2174,White,Working class,44999.0,1.0,Female,Suburb
2175,Hispanic,Middle class,174999.0,1.0,Male,City
2176,Black,Working class,14999.0,1.0,Female,City
2177,White,Working class,14999.0,0.0,Female,Small town
2178,White,Middle class,249999.0,0.0,Female,Suburb
2179,Black,Middle class,249999.0,1.0,Female,Suburb
2180,Black,Working class,14999.0,1.0,Female,Small town
2181,Hispanic,Working class,14999.0,0.0,Male,Rural area
2182,White,Middle class,174999.0,1.0,Female,City
2183,White,Middle class,19999.0,1.0,Female,Small town
2184,Multiple,Middle class,79999.0,0.0,Male,Suburb
2185,Asian,Working class,89999.0,1.0,Male,Suburb
2186,Black,Working class,14999.0,1.0,Female,City
2187,Hispanic,Working class,109999.0,1.0,Female,Small town
2188,Black,Working class,9999.0,1.0,Female,City
2189,White,Middle class,174999.0,0.0,Female,Small town
2190,White,Working class,44999.0,0.0,Female,City
2191,White,Working class,34999.0,0.0,Male,Rural area
2192,White,Working class,29999.0,1.0,Male,City
2193,White,Working class,79999.0,0.0,Male,Suburb
2194,White,Working class,9999.0,1.0,Female,City
2195,Black,Working class,74999.0,1.0,Male,Rural area
2196,White,Working class,14999.0,0.0,Male,City
2197,Native American,Working class,69999.0,1.0,Male,City
2198,White,Working class,9999.0,0.0,Male,Small town
2199,White,Working class,89999.0,1.0,Male,Small town
2200,Black,Middle class,34999.0,1.0,Female,City
2201,White,Working class,89999.0,1.0,Female,City
2202,Hispanic,Working class,44999.0,1.0,Female,City
2203,White,Working class,39999.0,0.0,Female,Rural area
2204,White,Working class,174999.0,1.0,Male,Suburb
2205,White,Middle class,49999.0,1.0,Male,Rural area
2206,White,Middle class,149999.0,0.0,Female,Suburb
2207,White,Working class,149999.0,0.0,Female,Suburb
2208,White,Upper class,109999.0,1.0,Female,Rural area
2209,White,Middle class,59999.0,1.0,Male,Small town
2210,White,Middle class,89999.0,0.0,Female,Suburb
